Year,Year,Week,Away Team,Away Team,Home Team
2013,2013,12,LAC,LAC,KC
2013,2013,12,CHI,CHI,LAR
2013,2013,12,CAR,CAR,MIA
2013,2013,12,NYJ,NYJ,BAL
2013,2013,12,JAX,JAX,HOU
2013,2013,12,IND,IND,ARI
2013,2013,12,TEN,TEN,OAK
2013,2013,12,DAL,DAL,NYG
2013,2013,12,DEN,DEN,NE
2013,2013,12,SF,SF,WAS
2013,2013,13,GB,GB,DET
2013,2013,13,OAK,OAK,DAL
2013,2013,13,PIT,PIT,BAL
2013,2013,13,TB,TB,CAR
2013,2013,13,JAX,JAX,CLE
2013,2013,13,TEN,TEN,IND
2013,2013,13,DEN,DEN,KC
2013,2013,13,CHI,CHI,MIN
2013,2013,13,MIA,MIA,NYJ
2013,2013,13,ARI,ARI,PHI
2013,2013,13,LAR,LAR,SF
2013,2013,13,NE,NE,HOU
2013,2013,13,CIN,CIN,LAC
2013,2013,13,NYG,NYG,WAS
2013,2013,13,NO,NO,SEA
2013,2013,14,HOU,HOU,JAX
2013,2013,14,IND,IND,CIN
2013,2013,14,BUF,BUF,TB
2013,2013,14,KC,KC,WAS
2013,2013,14,MIN,MIN,BAL
2013,2013,14,CLE,CLE,NE
2013,2013,14,OAK,OAK,NYJ
2013,2013,14,DET,DET,PHI
2013,2013,14,MIA,MIA,PIT
2013,2013,14,ATL,ATL,GB
2013,2013,14,TEN,TEN,DEN
2013,2013,14,NYG,NYG,LAC
2013,2013,14,SEA,SEA,SF
2013,2013,14,LAR,LAR,ARI
2013,2013,14,CAR,CAR,NO
2013,2013,14,DAL,DAL,CHI
2013,2013,15,LAC,LAC,DEN
2013,2013,15,WAS,WAS,ATL
2013,2013,15,CHI,CHI,CLE
2013,2013,15,ARI,ARI,TEN
2013,2013,15,HOU,HOU,IND
2013,2013,15,NO,NO,LAR
2013,2013,15,NE,NE,MIA
2013,2013,15,PHI,PHI,MIN
2013,2013,15,SEA,SEA,NYG
2013,2013,15,BUF,BUF,JAX
2013,2013,15,SF,SF,TB
2013,2013,15,NYJ,NYJ,CAR
2013,2013,15,KC,KC,OAK
2013,2013,15,GB,GB,DAL
2013,2013,15,CIN,CIN,PIT
2013,2013,15,BAL,BAL,DET
2013,2013,16,MIA,MIA,BUF
2013,2013,16,MIN,MIN,CIN
2013,2013,16,IND,IND,KC
2013,2013,16,TB,TB,LAR
2013,2013,16,CLE,CLE,NYJ
2013,2013,16,DAL,DAL,WAS
2013,2013,16,NO,NO,CAR
2013,2013,16,TEN,TEN,JAX
2013,2013,16,DEN,DEN,HOU
2013,2013,16,ARI,ARI,SEA
2013,2013,16,NYG,NYG,DET
2013,2013,16,PIT,PIT,GB
2013,2013,16,OAK,OAK,LAC
2013,2013,16,NE,NE,BAL
2013,2013,16,CHI,CHI,PHI
2013,2013,16,ATL,ATL,SF
2013,2013,17,CAR,CAR,ATL
2013,2013,17,BAL,BAL,CIN
2013,2013,17,HOU,HOU,TEN
2013,2013,17,JAX,JAX,IND
2013,2013,17,CLE,CLE,PIT
2013,2013,17,NYJ,NYJ,MIA
2013,2013,17,DET,DET,MIN
2013,2013,17,WAS,WAS,NYG
2013,2013,17,GB,GB,CHI
2013,2013,17,BUF,BUF,NE
2013,2013,17,TB,TB,NO
2013,2013,17,SF,SF,ARI
2013,2013,17,KC,KC,LAC
2013,2013,17,LAR,LAR,SEA
2013,2013,17,DEN,DEN,OAK
2013,2013,17,PHI,PHI,DAL
2014,2014,1,GB,GB,SEA
2014,2014,1,NO,NO,ATL
2014,2014,1,BUF,BUF,CHI
2014,2014,1,TEN,TEN,KC
2014,2014,1,MIN,MIN,LAR
2014,2014,1,NE,NE,MIA
2014,2014,1,OAK,OAK,NYJ
2014,2014,1,JAX,JAX,PHI
2014,2014,1,CLE,CLE,PIT
2014,2014,1,CIN,CIN,BAL
2014,2014,1,WAS,WAS,HOU
2014,2014,1,CAR,CAR,TB
2014,2014,1,SF,SF,DAL
2014,2014,1,IND,IND,DEN
2014,2014,1,NYG,NYG,DET
2014,2014,1,LAC,LAC,ARI
2014,2014,2,PIT,PIT,BAL
2014,2014,2,MIA,MIA,BUF
2014,2014,2,ATL,ATL,CIN
2014,2014,2,NO,NO,CLE
2014,2014,2,DAL,DAL,TEN
2014,2014,2,NE,NE,MIN
2014,2014,2,ARI,ARI,NYG
2014,2014,2,JAX,JAX,WAS
2014,2014,2,DET,DET,CAR
2014,2014,2,SEA,SEA,LAC
2014,2014,2,LAR,LAR,TB
2014,2014,2,KC,KC,DEN
2014,2014,2,NYJ,NYJ,GB
2014,2014,2,HOU,HOU,OAK
2014,2014,2,CHI,CHI,SF
2014,2014,2,PHI,PHI,IND
2014,2014,3,TB,TB,ATL
2014,2014,3,LAC,LAC,BUF
2014,2014,3,TEN,TEN,CIN
2014,2014,3,BAL,BAL,CLE
2014,2014,3,GB,GB,DET
2014,2014,3,DAL,DAL,LAR
2014,2014,3,OAK,OAK,NE
2014,2014,3,MIN,MIN,NO
2014,2014,3,HOU,HOU,NYG
2014,2014,3,WAS,WAS,PHI
2014,2014,3,IND,IND,JAX
2014,2014,3,SF,SF,ARI
2014,2014,3,KC,KC,MIA
2014,2014,3,DEN,DEN,SEA
2014,2014,3,PIT,PIT,CAR
2014,2014,3,CHI,CHI,NYJ
2014,2014,4,NYG,NYG,WAS
2014,2014,4,GB,GB,CHI
2014,2014,4,TEN,TEN,IND
2014,2014,4,DET,DET,NYJ
2014,2014,4,TB,TB,PIT
2014,2014,4,CAR,CAR,BAL
2014,2014,4,BUF,BUF,HOU
2014,2014,4,JAX,JAX,LAC
2014,2014,4,ATL,ATL,MIN
2014,2014,4,PHI,PHI,SF
2014,2014,4,NO,NO,DAL
2014,2014,4,NE,NE,KC
2014,2014,5,MIN,MIN,GB
2014,2014,5,HOU,HOU,DAL
2014,2014,5,BUF,BUF,DET
2014,2014,5,CLE,CLE,TEN
2014,2014,5,BAL,BAL,IND
2014,2014,5,TB,TB,NO
2014,2014,5,ATL,ATL,NYG
2014,2014,5,LAR,LAR,PHI
2014,2014,5,CHI,CHI,CAR
2014,2014,5,PIT,PIT,JAX
2014,2014,5,ARI,ARI,DEN
2014,2014,5,NYJ,NYJ,LAC
2014,2014,5,KC,KC,SF
2014,2014,5,CIN,CIN,NE
2014,2014,5,SEA,SEA,WAS
2014,2014,6,IND,IND,HOU
2014,2014,6,NE,NE,BUF
2014,2014,6,CAR,CAR,CIN
2014,2014,6,PIT,PIT,CLE
2014,2014,6,JAX,JAX,TEN
2014,2014,6,GB,GB,MIA
2014,2014,6,DET,DET,MIN
2014,2014,6,DEN,DEN,NYJ
2014,2014,6,BAL,BAL,TB
2014,2014,6,LAC,LAC,OAK
2014,2014,6,CHI,CHI,ATL
2014,2014,6,WAS,WAS,ARI
2014,2014,6,DAL,DAL,SEA
2014,2014,6,NYG,NYG,PHI
2014,2014,6,SF,SF,LAR
2014,2014,7,NYJ,NYJ,NE
2014,2014,7,MIN,MIN,BUF
2014,2014,7,MIA,MIA,CHI
2014,2014,7,NO,NO,DET
2014,2014,7,CAR,CAR,GB
2014,2014,7,CIN,CIN,IND
2014,2014,7,SEA,SEA,LAR
2014,2014,7,TEN,TEN,WAS
2014,2014,7,CLE,CLE,JAX
2014,2014,7,ATL,ATL,BAL
2014,2014,7,KC,KC,LAC
2014,2014,7,NYG,NYG,DAL
2014,2014,7,ARI,ARI,OAK
2014,2014,7,SF,SF,DEN
2014,2014,7,HOU,HOU,PIT
2014,2014,8,LAC,LAC,DEN
2014,2014,8,BAL,BAL,CIN
2014,2014,8,HOU,HOU,TEN
2014,2014,8,LAR,LAR,KC
2014,2014,8,CHI,CHI,NE
2014,2014,8,BUF,BUF,NYJ
2014,2014,8,MIN,MIN,TB
2014,2014,8,SEA,SEA,CAR
2014,2014,8,MIA,MIA,JAX
2014,2014,8,PHI,PHI,ARI
2014,2014,8,OAK,OAK,CLE
2014,2014,8,IND,IND,PIT
2014,2014,8,GB,GB,NO
2014,2014,8,WAS,WAS,DAL
2014,2014,9,NO,NO,CAR
2014,2014,9,JAX,JAX,CIN
2014,2014,9,TB,TB,CLE
2014,2014,9,ARI,ARI,DAL
2014,2014,9,NYJ,NYJ,KC
2014,2014,9,LAC,LAC,MIA
2014,2014,9,WAS,WAS,MIN
2014,2014,9,PHI,PHI,HOU
2014,2014,9,LAR,LAR,SF
2014,2014,9,DEN,DEN,NE
2014,2014,9,OAK,OAK,SEA
2014,2014,9,BAL,BAL,PIT
2014,2014,9,IND,IND,NYG
2014,2014,10,CLE,CLE,CIN
2014,2014,10,KC,KC,BUF
2014,2014,10,MIA,MIA,DET
2014,2014,10,SF,SF,NO
2014,2014,10,PIT,PIT,NYJ
2014,2014,10,ATL,ATL,TB
2014,2014,10,TEN,TEN,BAL
2014,2014,10,DEN,DEN,OAK
2014,2014,10,LAR,LAR,ARI
2014,2014,10,NYG,NYG,SEA
2014,2014,10,CHI,CHI,GB
2014,2014,10,CAR,CAR,PHI
2014,2014,11,BUF,BUF,MIA
2014,2014,11,MIN,MIN,CHI
2014,2014,11,HOU,HOU,CLE
2014,2014,11,PHI,PHI,GB
2014,2014,11,SEA,SEA,KC
2014,2014,11,DEN,DEN,LAR
2014,2014,11,CIN,CIN,NO
2014,2014,11,SF,SF,NYG
2014,2014,11,TB,TB,WAS
2014,2014,11,ATL,ATL,CAR
2014,2014,11,OAK,OAK,LAC
2014,2014,11,DET,DET,ARI
2014,2014,11,NE,NE,IND
2014,2014,11,PIT,PIT,TEN
2014,2014,12,KC,KC,OAK
2014,2014,12,CLE,CLE,ATL
2014,2014,12,TB,TB,CHI
2014,2014,12,JAX,JAX,IND
2014,2014,12,GB,GB,MIN
2014,2014,12,DET,DET,NE
2014,2014,12,TEN,TEN,PHI
2014,2014,12,CIN,CIN,HOU
2014,2014,12,LAR,LAR,LAC
2014,2014,12,ARI,ARI,SEA
2014,2014,12,MIA,MIA,DEN
2014,2014,12,WAS,WAS,SF
2014,2014,12,DAL,DAL,NYG
2014,2014,12,NYJ,NYJ,BUF
2014,2014,12,BAL,BAL,NO
2014,2014,13,CHI,CHI,DET
2014,2014,13,PHI,PHI,DAL
2014,2014,13,SEA,SEA,SF
2014,2014,13,CLE,CLE,BUF
2014,2014,13,WAS,WAS,IND
2014,2014,13,OAK,OAK,LAR
2014,2014,13,CAR,CAR,MIN
2014,2014,13,NO,NO,PIT
2014,2014,13,CIN,CIN,TB
2014,2014,13,NYG,NYG,JAX
2014,2014,13,LAC,LAC,BAL
2014,2014,13,TEN,TEN,HOU
2014,2014,13,ARI,ARI,ATL
2014,2014,13,NE,NE,GB
2014,2014,13,DEN,DEN,KC
2014,2014,13,MIA,MIA,NYJ
2014,2014,14,DAL,DAL,CHI
2014,2014,14,PIT,PIT,CIN
2014,2014,14,IND,IND,CLE
2014,2014,14,TB,TB,DET
2014,2014,14,NYG,NYG,TEN
2014,2014,14,BAL,BAL,MIA
2014,2014,14,NYJ,NYJ,MIN
2014,2014,14,CAR,CAR,NO
2014,2014,14,LAR,LAR,WAS
2014,2014,14,HOU,HOU,JAX
2014,2014,14,BUF,BUF,DEN
2014,2014,14,KC,KC,ARI
