Year,Year,Week,Home Team,Home Team
2013,2013,14,CHI,CHI
2013,2013,15,DEN,DEN
2013,2013,15,ATL,ATL
2013,2013,15,CLE,CLE
2013,2013,15,TEN,TEN
2013,2013,15,IND,IND
2013,2013,15,LAR,LAR
2013,2013,15,MIA,MIA
2013,2013,15,MIN,MIN
2013,2013,15,NYG,NYG
2013,2013,15,JAX,JAX
2013,2013,15,TB,TB
2013,2013,15,CAR,CAR
2013,2013,15,OAK,OAK
2013,2013,15,DAL,DAL
2013,2013,15,PIT,PIT
2013,2013,15,DET,DET
2013,2013,16,BUF,BUF
2013,2013,16,CIN,CIN
2013,2013,16,KC,KC
2013,2013,16,LAR,LAR
2013,2013,16,NYJ,NYJ
2013,2013,16,WAS,WAS
2013,2013,16,CAR,CAR
2013,2013,16,JAX,JAX
2013,2013,16,HOU,HOU
2013,2013,16,SEA,SEA
2013,2013,16,DET,DET
2013,2013,16,GB,GB
2013,2013,16,LAC,LAC
2013,2013,16,BAL,BAL
2013,2013,16,PHI,PHI
2013,2013,16,SF,SF
2013,2013,17,ATL,ATL
2013,2013,17,CIN,CIN
2013,2013,17,TEN,TEN
2013,2013,17,IND,IND
2013,2013,17,PIT,PIT
2013,2013,17,MIA,MIA
2013,2013,17,MIN,MIN
2013,2013,17,NYG,NYG
2013,2013,17,CHI,CHI
2013,2013,17,NE,NE
2013,2013,17,NO,NO
2013,2013,17,ARI,ARI
2013,2013,17,LAC,LAC
2013,2013,17,SEA,SEA
2013,2013,17,OAK,OAK
2013,2013,17,DAL,DAL
2014,2014,1,SEA,SEA
2014,2014,1,ATL,ATL
2014,2014,1,CHI,CHI
2014,2014,1,KC,KC
2014,2014,1,LAR,LAR
2014,2014,1,MIA,MIA
2014,2014,1,NYJ,NYJ
2014,2014,1,PHI,PHI
2014,2014,1,PIT,PIT
2014,2014,1,BAL,BAL
2014,2014,1,HOU,HOU
2014,2014,1,TB,TB
2014,2014,1,DAL,DAL
2014,2014,1,DEN,DEN
2014,2014,1,DET,DET
2014,2014,1,ARI,ARI
2014,2014,2,BAL,BAL
2014,2014,2,BUF,BUF
2014,2014,2,CIN,CIN
2014,2014,2,CLE,CLE
2014,2014,2,TEN,TEN
2014,2014,2,MIN,MIN
2014,2014,2,NYG,NYG
2014,2014,2,WAS,WAS
2014,2014,2,CAR,CAR
2014,2014,2,LAC,LAC
2014,2014,2,TB,TB
2014,2014,2,DEN,DEN
2014,2014,2,GB,GB
2014,2014,2,OAK,OAK
2014,2014,2,SF,SF
2014,2014,2,IND,IND
2014,2014,3,ATL,ATL
2014,2014,3,BUF,BUF
2014,2014,3,CIN,CIN
2014,2014,3,CLE,CLE
2014,2014,3,DET,DET
2014,2014,3,LAR,LAR
2014,2014,3,NE,NE
2014,2014,3,NO,NO
2014,2014,3,NYG,NYG
2014,2014,3,PHI,PHI
2014,2014,3,JAX,JAX
2014,2014,3,ARI,ARI
2014,2014,3,MIA,MIA
2014,2014,3,SEA,SEA
2014,2014,3,CAR,CAR
2014,2014,3,NYJ,NYJ
2014,2014,4,WAS,WAS
2014,2014,4,CHI,CHI
2014,2014,4,IND,IND
2014,2014,4,NYJ,NYJ
2014,2014,4,PIT,PIT
2014,2014,4,BAL,BAL
2014,2014,4,HOU,HOU
2014,2014,4,LAC,LAC
2014,2014,4,MIN,MIN
2014,2014,4,SF,SF
2014,2014,4,DAL,DAL
2014,2014,4,KC,KC
2014,2014,5,GB,GB
2014,2014,5,DAL,DAL
2014,2014,5,DET,DET
2014,2014,5,TEN,TEN
2014,2014,5,IND,IND
2014,2014,5,NO,NO
2014,2014,5,NYG,NYG
2014,2014,5,PHI,PHI
2014,2014,5,CAR,CAR
2014,2014,5,JAX,JAX
2014,2014,5,DEN,DEN
2014,2014,5,LAC,LAC
2014,2014,5,SF,SF
2014,2014,5,NE,NE
2014,2014,5,WAS,WAS
2014,2014,6,HOU,HOU
2014,2014,6,BUF,BUF
2014,2014,6,CIN,CIN
2014,2014,6,CLE,CLE
2014,2014,6,TEN,TEN
2014,2014,6,MIA,MIA
2014,2014,6,MIN,MIN
2014,2014,6,NYJ,NYJ
2014,2014,6,TB,TB
2014,2014,6,OAK,OAK
2014,2014,6,ATL,ATL
2014,2014,6,ARI,ARI
2014,2014,6,SEA,SEA
2014,2014,6,PHI,PHI
2014,2014,6,LAR,LAR
2014,2014,7,NE,NE
2014,2014,7,BUF,BUF
2014,2014,7,CHI,CHI
2014,2014,7,DET,DET
2014,2014,7,GB,GB
2014,2014,7,IND,IND
2014,2014,7,LAR,LAR
2014,2014,7,WAS,WAS
2014,2014,7,JAX,JAX
2014,2014,7,BAL,BAL
2014,2014,7,LAC,LAC
2014,2014,7,DAL,DAL
2014,2014,7,OAK,OAK
2014,2014,7,DEN,DEN
2014,2014,7,PIT,PIT
2014,2014,8,DEN,DEN
2014,2014,8,CIN,CIN
2014,2014,8,TEN,TEN
2014,2014,8,KC,KC
2014,2014,8,NE,NE
2014,2014,8,NYJ,NYJ
2014,2014,8,TB,TB
2014,2014,8,CAR,CAR
2014,2014,8,JAX,JAX
2014,2014,8,ARI,ARI
2014,2014,8,CLE,CLE
2014,2014,8,PIT,PIT
2014,2014,8,NO,NO
2014,2014,8,DAL,DAL
2014,2014,9,CAR,CAR
2014,2014,9,CIN,CIN
2014,2014,9,CLE,CLE
2014,2014,9,DAL,DAL
2014,2014,9,KC,KC
2014,2014,9,MIA,MIA
2014,2014,9,MIN,MIN
2014,2014,9,HOU,HOU
2014,2014,9,SF,SF
2014,2014,9,NE,NE
2014,2014,9,SEA,SEA
2014,2014,9,PIT,PIT
2014,2014,9,NYG,NYG
2014,2014,10,CIN,CIN
2014,2014,10,BUF,BUF
2014,2014,10,DET,DET
2014,2014,10,NO,NO
2014,2014,10,NYJ,NYJ
2014,2014,10,TB,TB
2014,2014,10,BAL,BAL
2014,2014,10,OAK,OAK
2014,2014,10,ARI,ARI
2014,2014,10,SEA,SEA
2014,2014,10,GB,GB
2014,2014,10,PHI,PHI
2014,2014,11,MIA,MIA
2014,2014,11,CHI,CHI
2014,2014,11,CLE,CLE
2014,2014,11,GB,GB
2014,2014,11,KC,KC
2014,2014,11,LAR,LAR
2014,2014,11,NO,NO
2014,2014,11,NYG,NYG
2014,2014,11,WAS,WAS
2014,2014,11,CAR,CAR
2014,2014,11,LAC,LAC
2014,2014,11,ARI,ARI
2014,2014,11,IND,IND
2014,2014,11,TEN,TEN
2014,2014,12,OAK,OAK
2014,2014,12,ATL,ATL
2014,2014,12,CHI,CHI
2014,2014,12,IND,IND
2014,2014,12,MIN,MIN
2014,2014,12,NE,NE
2014,2014,12,PHI,PHI
2014,2014,12,HOU,HOU
2014,2014,12,LAC,LAC
2014,2014,12,SEA,SEA
2014,2014,12,DEN,DEN
2014,2014,12,SF,SF
2014,2014,12,NYG,NYG
2014,2014,12,BUF,BUF
2014,2014,12,NO,NO
2014,2014,13,DET,DET
2014,2014,13,DAL,DAL
2014,2014,13,SF,SF
2014,2014,13,BUF,BUF
2014,2014,13,IND,IND
2014,2014,13,LAR,LAR
2014,2014,13,MIN,MIN
2014,2014,13,PIT,PIT
2014,2014,13,TB,TB
2014,2014,13,JAX,JAX
2014,2014,13,BAL,BAL
2014,2014,13,HOU,HOU
2014,2014,13,ATL,ATL
2014,2014,13,GB,GB
2014,2014,13,KC,KC
2014,2014,13,NYJ,NYJ
2014,2014,14,CHI,CHI
2014,2014,14,CIN,CIN
2014,2014,14,CLE,CLE
2014,2014,14,DET,DET
2014,2014,14,TEN,TEN
2014,2014,14,MIA,MIA
2014,2014,14,MIN,MIN
2014,2014,14,NO,NO
2014,2014,14,WAS,WAS
2014,2014,14,JAX,JAX
2014,2014,14,DEN,DEN
2014,2014,14,ARI,ARI
2014,2014,14,OAK,OAK
2014,2014,14,PHI,PHI
2014,2014,14,LAC,LAC
2014,2014,14,GB,GB
2014,2014,15,LAR,LAR
2014,2014,15,ATL,ATL
2014,2014,15,BUF,BUF
2014,2014,15,CLE,CLE
2014,2014,15,IND,IND
2014,2014,15,KC,KC
2014,2014,15,NE,NE
2014,2014,15,NYG,NYG
2014,2014,15,CAR,CAR
2014,2014,15,BAL,BAL
2014,2014,15,TEN,TEN
2014,2014,15,LAC,LAC
2014,2014,15,SEA,SEA
2014,2014,15,DET,DET
2014,2014,15,PHI,PHI
2014,2014,15,CHI,CHI
2014,2014,16,JAX,JAX
2014,2014,16,WAS,WAS
2014,2014,16,SF,SF
2014,2014,16,CHI,CHI
2014,2014,16,MIA,MIA
2014,2014,16,NO,NO
2014,2014,16,NYJ,NYJ
2014,2014,16,PIT,PIT
2014,2014,16,TB,TB
2014,2014,16,CAR,CAR
2014,2014,16,HOU,HOU
2014,2014,16,LAR,LAR
2014,2014,16,DAL,DAL
2014,2014,16,OAK,OAK
2014,2014,16,ARI,ARI
2014,2014,16,CIN,CIN
2014,2014,17,TEN,TEN
2014,2014,17,KC,KC
2014,2014,17,MIA,MIA
2014,2014,17,MIN,MIN
2014,2014,17,NE,NE
2014,2014,17,NYG,NYG
2014,2014,17,TB,TB
2014,2014,17,WAS,WAS
2014,2014,17,BAL,BAL
2014,2014,17,HOU,HOU
2014,2014,17,ATL,ATL
2014,2014,17,GB,GB
2014,2014,17,DEN,DEN
2014,2014,17,SF,SF
2014,2014,17,SEA,SEA
2014,2014,17,PIT,PIT
2016,2016,1,DEN,DEN
2016,2016,1,ATL,ATL
2016,2016,1,TEN,TEN
2016,2016,1,PHI,PHI
2016,2016,1,NYJ,NYJ
2016,2016,1,NO,NO
2016,2016,1,KC,KC
2016,2016,1,BAL,BAL
2016,2016,1,HOU,HOU
2016,2016,1,JAX,JAX
2016,2016,1,SEA,SEA
2016,2016,1,DAL,DAL
2016,2016,1,IND,IND
2016,2016,1,ARI,ARI
2016,2016,1,WAS,WAS
2016,2016,1,SF,SF
2016,2016,2,BUF,BUF
2016,2016,2,CAR,CAR
2016,2016,2,WAS,WAS
2016,2016,2,PIT,PIT
2016,2016,2,NYG,NYG
2016,2016,2,NE,NE
2016,2016,2,HOU,HOU
2016,2016,2,DET,DET
2016,2016,2,CLE,CLE
2016,2016,2,LAR,LAR
2016,2016,2,ARI,ARI
2016,2016,2,LAC,LAC
2016,2016,2,OAK,OAK
2016,2016,2,DEN,DEN
2016,2016,2,MIN,MIN
2016,2016,2,CHI,CHI
2016,2016,3,NE,NE
2016,2016,3,BUF,BUF
2016,2016,3,TEN,TEN
2016,2016,3,NYG,NYG
2016,2016,3,MIA,MIA
2016,2016,3,JAX,JAX
2016,2016,3,GB,GB
2016,2016,3,CIN,CIN
2016,2016,3,CAR,CAR
2016,2016,3,TB,TB
2016,2016,3,SEA,SEA
2016,2016,3,KC,KC
2016,2016,3,IND,IND
2016,2016,3,PHI,PHI
2016,2016,3,DAL,DAL
2016,2016,3,NO,NO
2016,2016,4,CIN,CIN
2016,2016,4,JAX,JAX
2016,2016,4,HOU,HOU
2016,2016,4,WAS,WAS
2016,2016,4,NYJ,NYJ
2016,2016,4,NE,NE
2016,2016,4,ATL,ATL
2016,2016,4,BAL,BAL
2016,2016,4,CHI,CHI
2016,2016,4,TB,TB
2016,2016,4,ARI,ARI
2016,2016,4,LAC,LAC
2016,2016,4,SF,SF
2016,2016,4,PIT,PIT
2016,2016,4,MIN,MIN
2016,2016,5,SF,SF
2016,2016,5,CLE,CLE
2016,2016,5,DET,DET
2016,2016,5,IND,IND
2016,2016,5,MIA,MIA
2016,2016,5,BAL,BAL
2016,2016,5,MIN,MIN
2016,2016,5,PIT,PIT
2016,2016,5,DEN,DEN
2016,2016,5,DAL,DAL
2016,2016,5,LAR,LAR
2016,2016,5,OAK,OAK
2016,2016,5,GB,GB
2016,2016,5,CAR,CAR
2016,2016,6,LAC,LAC
2016,2016,6,BUF,BUF
2016,2016,6,WAS,WAS
2016,2016,6,TEN,TEN
2016,2016,6,NYG,NYG
2016,2016,6,NO,NO
2016,2016,6,CHI,CHI
2016,2016,6,DET,DET
2016,2016,6,MIA,MIA
2016,2016,6,NE,NE
2016,2016,6,OAK,OAK
2016,2016,6,SEA,SEA
2016,2016,6,GB,GB
2016,2016,6,HOU,HOU
2016,2016,6,ARI,ARI
2016,2016,7,GB,GB
2016,2016,7,LAR,LAR
2016,2016,7,KC,KC
2016,2016,7,TEN,TEN
2016,2016,7,PHI,PHI
2016,2016,7,CIN,CIN
2016,2016,7,DET,DET
2016,2016,7,JAX,JAX
2016,2016,7,MIA,MIA
2016,2016,7,NYJ,NYJ
2016,2016,7,SF,SF
2016,2016,7,ATL,ATL
2016,2016,7,PIT,PIT
2016,2016,7,ARI,ARI
2016,2016,7,DEN,DEN
2016,2016,8,TEN,TEN
2016,2016,8,CIN,CIN
2016,2016,8,IND,IND
2016,2016,8,TB,TB
2016,2016,8,NO,NO
2016,2016,8,HOU,HOU
2016,2016,8,CLE,CLE
2016,2016,8,BUF,BUF
2016,2016,8,DEN,DEN
2016,2016,8,ATL,ATL
2016,2016,8,CAR,CAR
2016,2016,8,DAL,DAL
2016,2016,8,CHI,CHI
2016,2016,9,TB,TB
2016,2016,9,MIN,MIN
2016,2016,9,NYG,NYG
2016,2016,9,MIA,MIA
2016,2016,9,KC,KC
2016,2016,9,CLE,CLE
2016,2016,9,BAL,BAL
2016,2016,9,SF,SF
2016,2016,9,LAR,LAR
2016,2016,9,GB,GB
2016,2016,9,LAC,LAC
2016,2016,9,OAK,OAK
2016,2016,9,SEA,SEA
2016,2016,10,BAL,BAL
2016,2016,10,JAX,JAX
2016,2016,10,NO,NO
2016,2016,10,NYJ,NYJ
2016,2016,10,PHI,PHI
2016,2016,10,CAR,CAR
2016,2016,10,TB,TB
2016,2016,10,WAS,WAS
2016,2016,10,TEN,TEN
2016,2016,10,LAC,LAC
2016,2016,10,ARI,ARI
2016,2016,10,PIT,PIT
2016,2016,10,NE,NE
2016,2016,10,NYG,NYG
2016,2016,11,CAR,CAR
2016,2016,11,CLE,CLE
2016,2016,11,DAL,DAL
2016,2016,11,DET,DET
2016,2016,11,IND,IND
2016,2016,11,CIN,CIN
2016,2016,11,KC,KC
2016,2016,11,NYG,NYG
2016,2016,11,MIN,MIN
2016,2016,11,LAR,LAR
2016,2016,11,SF,SF
2016,2016,11,SEA,SEA
2016,2016,11,WAS,WAS
2016,2016,11,OAK,OAK
2016,2016,12,DET,DET
2016,2016,12,DAL,DAL
2016,2016,12,IND,IND
2016,2016,12,CHI,CHI
2016,2016,12,BUF,BUF
2016,2016,12,BAL,BAL
2016,2016,12,ATL,ATL
2016,2016,12,CLE,CLE
2016,2016,12,NO,NO
2016,2016,12,MIA,MIA
2016,2016,12,HOU,HOU
2016,2016,12,TB,TB
2016,2016,12,OAK,OAK
2016,2016,12,NYJ,NYJ
2016,2016,12,DEN,DEN
2016,2016,12,PHI,PHI
2016,2016,13,MIN,MIN
2016,2016,13,ATL,ATL
2016,2016,13,NO,NO
2016,2016,13,NE,NE
2016,2016,13,JAX,JAX
2016,2016,13,GB,GB
2016,2016,13,CIN,CIN
2016,2016,13,BAL,BAL
2016,2016,13,CHI,CHI
2016,2016,13,OAK,OAK
2016,2016,13,PIT,PIT
2016,2016,13,ARI,ARI
2016,2016,13,LAC,LAC
2016,2016,13,SEA,SEA
2016,2016,13,NYJ,NYJ
2016,2016,14,KC,KC
2016,2016,14,BUF,BUF
2016,2016,14,TEN,TEN
2016,2016,14,TB,TB
2016,2016,14,PHI,PHI
2016,2016,14,MIA,MIA
2016,2016,14,CAR,CAR
2016,2016,14,CLE,CLE
2016,2016,14,DET,DET
2016,2016,14,IND,IND
2016,2016,14,JAX,JAX
2016,2016,14,SF,SF
2016,2016,14,LAR,LAR
2016,2016,14,GB,GB
2016,2016,14,NYG,NYG
2016,2016,14,NE,NE
2016,2016,15,SEA,SEA
2016,2016,15,NYJ,NYJ
2016,2016,15,CHI,CHI
2016,2016,15,HOU,HOU
2016,2016,15,BUF,BUF
2016,2016,15,BAL,BAL
2016,2016,15,KC,KC
2016,2016,15,NYG,NYG
2016,2016,15,MIN,MIN
2016,2016,15,CIN,CIN
2016,2016,15,ARI,ARI
2016,2016,15,ATL,ATL
2016,2016,15,DEN,DEN
2016,2016,15,LAC,LAC
2016,2016,15,DAL,DAL
2016,2016,15,WAS,WAS
2016,2016,16,PHI,PHI
