Josh Bynes,2018,11,ARI,OAK,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Josh Bynes,2018,12,LAC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,1,OAK,LAR,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,13,DET,LAR,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,14,CHI,LAR,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,15,LAR,PHI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,16,ARI,LAR,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Pharoh Cooper,2018,17,SEA,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Phil Dawson,2018,1,ARI,WAS,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Phil Dawson,2018,2,LAR,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Phil Dawson,2018,3,ARI,CHI,0,0,0,0,0,0,0,0/0,0/0,0,0,2
Phil Dawson,2018,4,ARI,SEA,0,0,0,0,0,0,0,0/0,0/0,0,0,5
Phil Dawson,2018,5,SF,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,4
Phil Dawson,2018,6,MIN,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,5
Phil Dawson,2018,7,ARI,DEN,0,0,0,0,0,0,0,0/0,0/0,0,0,4
Phil Dawson,2018,8,ARI,SF,0,0,0,0,0,0,0,0/0,0/0,0,0,4
Phil Dawson,2018,10,KC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,2
Phil Dawson,2018,12,LAC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,4
Larry Fitzgerald,2018,1,ARI,WAS,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,2,LAR,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,3,ARI,CHI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,4,ARI,SEA,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,5,SF,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,6,MIN,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,7,ARI,DEN,1,0,1,0,0,0,0,0/0,0/0,0,0,6
Larry Fitzgerald,2018,8,ARI,SF,1,0,1,0,0,0,0,0/0,0/0,1,0,8
Larry Fitzgerald,2018,10,KC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,11,ARI,OAK,2,0,2,0,0,0,0,0/0,0/0,0,0,12
Larry Fitzgerald,2018,12,LAC,ARI,1,0,1,0,0,0,0,0/0,0/0,0,0,6
Larry Fitzgerald,2018,13,GB,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,14,ARI,DET,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,15,ATL,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,16,ARI,LAR,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Larry Fitzgerald,2018,17,SEA,ARI,1,0,1,0,0,0,0,0/0,0/0,0,0,6
Dennis Gardeck,2018,2,LAR,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,4,ARI,SEA,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,6,MIN,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,7,ARI,DEN,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,8,ARI,SF,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,10,KC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Dennis Gardeck,2018,17,SEA,ARI,1,0,0,0,0,0,0,0/0,0/0,0,0,6
Markus Golden,2018,4,ARI,SEA,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,6,MIN,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,7,ARI,DEN,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,8,ARI,SF,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,10,KC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,11,ARI,OAK,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,12,LAC,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,13,GB,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,14,ARI,DET,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Markus Golden,2018,15,ATL,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,0
Zane Gonzalez,2018,1,CLE,PIT,0,0,0,0,0,0,0,0/0,0/0,0,0,3
Zane Gonzalez,2018,2,NO,CLE,0,0,0,0,0,0,0,0/0,0/0,0,0,6
Zane Gonzalez,2018,13,GB,ARI,0,0,0,0,0,0,0,0/0,0/0,0,0,8
Zane Gonzalez,2018,14,ARI,DET,0,0,0,0,0,0,0,0/0,0/0,0,0,3
