10/28/18,CAR,BAL,36,21,2018
09/09/18,NO,TB,48,40,2018
09/16/18,TB,PHI,27,21,2018
09/24/18,TB,PIT,27,30,2018
09/30/18,CHI,TB,10,48,2018
10/14/18,ATL,TB,29,34,2018
10/21/18,TB,CLE,26,23,2018
10/28/18,CIN,TB,34,37,2018
11/04/18,CAR,TB,28,42,2018
11/11/18,TB,WAS,3,16,2018
09/23/18,ARI,CHI,16,14,2018
09/09/18,GB,CHI,23,24,2018
09/17/18,CHI,SEA,24,17,2018
09/30/18,CHI,TB,48,10,2018
10/14/18,MIA,CHI,28,31,2018
10/21/18,CHI,NE,31,38,2018
10/28/18,CHI,NYJ,24,10,2018
11/04/18,BUF,CHI,41,9,2018
11/11/18,CHI,DET,34,22,2018
11/18/18,CHI,MIN,25,20,2018
11/22/18,DET,CHI,23,16,2018
12/02/18,NYG,CHI,27,30,2018
12/09/18,CHI,LA,15,6,2018
12/16/18,CHI,GB,24,17,2018
12/23/18,SF,CHI,14,9,2018
12/30/18,MIN,CHI,24,10,2018
09/23/18,MIN,BUF,6,27,2018
09/27/18,LA,MIN,31,38,2018
10/07/18,PHI,MIN,23,21,2018
10/14/18,MIN,ARI,27,17,2018
10/21/18,NYJ,MIN,37,17,2018
10/28/18,MIN,NO,20,30,2018
11/04/18,MIN,DET,24,9,2018
11/18/18,CHI,MIN,20,25,2018
11/25/18,MIN,GB,24,17,2018
12/02/18,NE,MIN,10,24,2018
12/10/18,SEA,MIN,7,21,2018
12/16/18,MIN,MIA,41,17,2018
12/23/18,DET,MIN,27,9,2018
12/30/18,MIN,CHI,10,24,2018
09/09/18,IND,CIN,34,23,2018
09/13/18,CIN,BAL,34,23,2018
09/23/18,CAR,CIN,21,31,2018
09/30/18,ATL,CIN,37,36,2018
10/14/18,CIN,PIT,21,28,2018
10/21/18,KC,CIN,10,45,2018
11/18/18,BAL,CIN,21,24,2018
11/25/18,CIN,CLE,20,35,2018
12/02/18,CIN,DEN,10,24,2018
12/09/18,LAC,CIN,21,26,2018
12/16/18,CIN,OAK,30,16,2018
12/23/18,CLE,CIN,18,26,2018
12/30/18,PIT,CIN,13,16,2018
11/11/18,GB,MIA,31,12,2018
09/20/18,CLE,NYJ,21,17,2018
09/30/18,OAK,CLE,42,45,2018
10/07/18,CLE,BAL,12,9,2018
10/21/18,TB,CLE,23,26,2018
10/28/18,PIT,CLE,18,33,2018
11/11/18,CLE,ATL,28,16,2018
12/09/18,CLE,CAR,26,20,2018
12/15/18,DEN,CLE,17,16,2018
12/23/18,CLE,CIN,26,18,2018
10/14/18,CLE,LAC,14,38,2018
10/28/18,JAX,PHI,18,24,2018
11/11/18,IND,JAX,26,29,2018
11/18/18,JAX,PIT,16,20,2018
11/25/18,BUF,JAX,21,24,2018
12/02/18,JAX,IND,6,0,2018
12/06/18,TEN,JAX,9,30,2018
12/23/18,MIA,JAX,17,7,2018
12/30/18,HOU,JAX,3,20,2018
09/09/18,CAR,DAL,8,16,2018
09/16/18,DAL,NYG,20,13,2018
09/23/18,SEA,DAL,13,24,2018
09/30/18,DAL,DET,26,24,2018
10/07/18,HOU,DAL,16,19,2018
10/14/18,DAL,JAX,40,7,2018
10/21/18,WAS,DAL,17,20,2018
11/05/18,DAL,TEN,14,28,2018
11/11/18,PHI,DAL,27,20,2018
11/18/18,ATL,DAL,22,19,2018
11/22/18,DAL,WAS,31,23,2018
11/29/18,DAL,NO,13,10,2018
12/09/18,DAL,PHI,29,23,2018
12/16/18,IND,DAL,0,23,2018
12/23/18,DAL,TB,27,20,2018
12/30/18,NYG,DAL,36,35,2018
10/28/18,CHI,NYJ,10,24,2018
11/15/18,SEA,GB,24,27,2018
11/25/18,MIN,GB,17,24,2018
09/09/18,NE,HOU,20,27,2018
09/23/18,HOU,NYG,22,27,2018
10/21/18,JAX,HOU,20,7,2018
10/25/18,HOU,MIA,42,23,2018
11/04/18,DEN,HOU,19,17,2018
11/26/18,HOU,TEN,34,17,2018
12/09/18,HOU,IND,21,24,2018
