Josh Bynes,2018,3,ARI,CHI,0,0,0,0,0,7,3,10,0,0
Josh Bynes,2018,4,ARI,SEA,0,0,0,0,0,5,0,5,0,0
Josh Bynes,2018,5,SF,ARI,0,0,0,0,0,9,2,11,1,15
Josh Bynes,2018,6,MIN,ARI,0,0,0,0,0,3,4,7,0,0
Josh Bynes,2018,7,ARI,DEN,0,0,0,0,0,3,3,6,0,0
Josh Bynes,2018,8,ARI,SF,0,0,0,0,0,4,1,5,0,0
Josh Bynes,2018,10,KC,ARI,0,0,0,0,0,2,1,3,1,7
Josh Bynes,2018,11,ARI,OAK,0,0,0,0,0,6,2,8,0,0
Josh Bynes,2018,12,LAC,ARI,0,0,0,0,0,1,2,3,0,0
Mason Cole,2018,3,ARI,CHI,0,0,0,0,0,1,0,1,0,0
Mason Cole,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0
Mason Cole,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Mason Cole,2018,7,ARI,DEN,0,0,0,0,0,1,0,1,0,0
Mason Cole,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0
Mason Cole,2018,13,GB,ARI,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,1,OAK,LAR,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,13,DET,LAR,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,14,CHI,LAR,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,15,LAR,PHI,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,16,ARI,LAR,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,2018,17,SEA,ARI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,1,ARI,WAS,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,2,LAR,ARI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,3,ARI,CHI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,6,MIN,ARI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,7,ARI,DEN,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,12,LAC,ARI,0,0,0,0,0,0,0,0,0,0
Vontarrius Dora,2018,16,ARI,LAR,0,0,0,0,0,2,0,2,0,0
Vontarrius Dora,2018,17,SEA,ARI,0,0,0,0,0,0,1,1,0,0
Larry Fitzgerald,2018,1,ARI,WAS,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,2,LAR,ARI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,3,ARI,CHI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,6,MIN,ARI,0,0,0,0,0,1,0,1,0,0
Larry Fitzgerald,2018,7,ARI,DEN,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,11,ARI,OAK,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,12,LAC,ARI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,13,GB,ARI,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,14,ARI,DET,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,15,ATL,ARI,0,0,0,0,0,2,0,2,0,0
Larry Fitzgerald,2018,16,ARI,LAR,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,2018,17,SEA,ARI,0,0,0,0,0,0,0,0,0,0
Dennis Gardeck,2018,2,LAR,ARI,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,4,ARI,SEA,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,6,MIN,ARI,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,7,ARI,DEN,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,8,ARI,SF,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,10,KC,ARI,0,0,0,0,0,1,0,1,0,0
Dennis Gardeck,2018,17,SEA,ARI,0,0,0,0,0,1,0,1,0,0
Mike Glennon,2018,15,ATL,ARI,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2018,16,ARI,LAR,0,0,0,0,0,0,0,0,0,0
Markus Golden,2018,4,ARI,SEA,0,0,0,0,0,2,0,2,0,0
Markus Golden,2018,6,MIN,ARI,0,0,0,0,0,2,1,3,0.5,4
Markus Golden,2018,7,ARI,DEN,0,0,0,0,0,2,0,2,0,0
Markus Golden,2018,8,ARI,SF,0,0,0,0,0,7,0,7,1,8
Markus Golden,2018,10,KC,ARI,0,0,0,0,0,2,1,3,0,0
Markus Golden,2018,11,ARI,OAK,0,0,0,0,0,5,0,5,0,0
Markus Golden,2018,12,LAC,ARI,0,0,0,0,0,1,1,2,0,0
Markus Golden,2018,13,GB,ARI,0,0,0,0,0,1,2,3,0,0
Markus Golden,2018,14,ARI,DET,0,0,0,0,0,1,0,1,0,0
Markus Golden,2018,15,ATL,ARI,0,0,0,0,0,2,0,2,1,5
Colby Gossett,2018,17,SEA,ARI,0,0,0,0,0,1,0,1,0,0
Jermaine Gresham,2018,3,ARI,CHI,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,6,MIN,ARI,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,11,ARI,OAK,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,12,LAC,ARI,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,14,ARI,DET,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2018,15,ATL,ARI,0,0,0,0,0,0,0,0,0,0
Rodney Gunter,2018,1,ARI,WAS,0,0,0,0,0,1,0,1,0,0
Rodney Gunter,2018,3,ARI,CHI,0,0,0,0,0,1,1,2,0,0
Rodney Gunter,2018,5,SF,ARI,0,0,0,0,0,4,1,5,0,0
Rodney Gunter,2018,7,ARI,DEN,0,0,0,0,0,2,1,3,0,0
Rodney Gunter,2018,8,ARI,SF,0,0,0,0,0,3,2,5,0.5,4
Rodney Gunter,2018,10,KC,ARI,0,0,0,0,0,2,0,2,1,7
Rodney Gunter,2018,11,ARI,OAK,0,0,0,0,0,5,2,7,0,0
Rodney Gunter,2018,12,LAC,ARI,0,0,0,0,0,3,0,3,1,5
Rodney Gunter,2018,13,GB,ARI,0,0,0,0,0,2,0,2,0,0
Rodney Gunter,2018,14,ARI,DET,0,0,0,0,0,1,0,1,0,0
Rodney Gunter,2018,15,ATL,ARI,0,0,0,0,0,2,1,3,0,0
Rodney Gunter,2018,16,ARI,LAR,0,0,0,0,0,2,3,5,0,0
Rodney Gunter,2018,17,SEA,ARI,0,0,0,0,0,4,1,5,2,16
Gerald Hodges,2018,2,LAR,ARI,0,0,0,0,0,5,0,5,0,0
Gerald Hodges,2018,3,ARI,CHI,0,0,0,0,0,5,2,7,0,0
Gerald Hodges,2018,5,SF,ARI,0,0,0,0,0,1,0,1,0,0
Gerald Hodges,2018,8,ARI,SF,0,0,0,0,0,1,0,1,0,0
Gerald Hodges,2018,11,ARI,OAK,0,0,0,0,0,1,0,1,0,0
Gerald Hodges,2018,12,LAC,ARI,0,0,0,0,0,7,3,10,0,0
Gerald Hodges,2018,13,GB,ARI,0,0,0,0,0,12,1,13,0,0
Gerald Hodges,2018,14,ARI,DET,0,0,0,0,0,3,2,5,0,0
Gerald Hodges,2018,15,ATL,ARI,0,0,0,0,0,5,0,5,0,0
Gerald Hodges,2018,16,ARI,LAR,0,0,0,0,0,1,1,2,0,0
Gerald Hodges,2018,17,SEA,ARI,0,0,0,0,0,3,2,5,0,0
Gabe Holmes,2018,6,MIN,ARI,0,0,0,0,0,1,0,1,0,0
Mike Iupati,2018,11,ARI,OAK,0,0,0,0,0,1,0,1,0,0
Christian Kirk,2018,1,ARI,WAS,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,2,LAR,ARI,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,3,ARI,CHI,0,0,0,0,0,1,0,1,0,0
Christian Kirk,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,6,MIN,ARI,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,7,ARI,DEN,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,11,ARI,OAK,0,0,0,0,0,0,0,0,0,0
Christian Kirk,2018,12,LAC,ARI,0,0,0,0,0,1,0,1,0,0
Christian Kirk,2018,13,GB,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,1,ARI,WAS,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,2,LAR,ARI,0,0,0,0,0,1,0,1,0,0
Andy Lee,2018,3,ARI,CHI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,6,MIN,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,7,ARI,DEN,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,11,ARI,OAK,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,12,LAC,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,13,GB,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,14,ARI,DET,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,15,ATL,ARI,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,16,ARI,LAR,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,17,SEA,ARI,0,0,0,0,0,0,0,0,0,0
Cameron Malveaux,2018,5,CIN,MIA,0,0,0,0,0,0,2,2,0,0
Cameron Malveaux,2018,6,MIA,CHI,0,0,0,0,0,0,3,3,0,0
