0,ari,head coach,2018
1,ari,defensive coordinator,2018
2,ari,special teams,2018
3,atl,head coach,2018
4,atl,offensive coordinator,2018
5,atl,defensive coordinator,2018
6,atl,special teams,2018
7,bal,head coach,2018
8,bal,offensive coordinator,2018
9,bal,defensive coordinator,2018
10,bal,special teams,2018
11,buf,head coach,2018
12,buf,offensive coordinator,2018
13,buf,defensive coordinator,2018
14,buf,special teams,2018
15,car,head coach,2018
16,car,offensive coordinator,2018
17,car,defensive coordinator,2018
18,car,special teams,2018
19,chi,head coach,2018
20,chi,offensive coordinator,2018
21,chi,defensive coordinator,2018
22,chi,special teams,2018
23,cin,head coach,2018
24,cin,offensive coordinator,2018
25,cin,defensive coordinator,2018
26,cin,special teams,2018
27,cle,head coach,2018
28,cle,offensive coordinator,2018
29,cle,defensive coordinator,2018
30,cle,special teams,2018
31,dal,head coach,2018
32,dal,offensive coordinator,2018
33,dal,defensive coordinator,2018
34,dal,special teams,2018
35,den,head coach,2018
36,den,offensive coordinator,2018
37,den,defensive coordinator,2018
38,det,head coach,2018
39,det,offensive coordinator,2018
40,det,defensive coordinator,2018
41,det,special teams,2018
42,gb,head coach,2018
43,gb,offensive coordinator,2018
44,gb,defensive coordinator,2018
45,hou,head coach,2018
46,hou,offensive coordinator,2018
47,hou,defensive coordinator,2018
48,hou,special teams,2018
49,ind,head coach,2018
50,ind,offensive coordinator,2018
51,ind,defensive coordinator,2018
52,ind,special teams,2018
53,jax,head coach,2018
54,jax,offensive coordinator,2018
55,jax,defensive coordinator,2018
56,jax,special teams,2018
57,kc,head coach,2018
58,kc,offensive coordinator,2018
59,kc,defensive coordinator,2018
60,kc,special teams,2018
61,lac,head coach,2018
62,lac,offensive coordinator,2018
63,lac,defensive coordinator,2018
64,lac,special teams,2018
65,lar,head coach,2018
66,lar,offensive coordinator,2018
67,lar,defensive coordinator,2018
68,lar,special teams,2018
69,mia,head coach,2018
70,mia,offensive coordinator,2018
71,mia,special teams,2018
72,min,head coach,2018
73,min,offensive coordinator,2018
74,min,defensive coordinator,2018
75,min,special teams,2018
76,ne,head coach,2018
77,ne,offensive coordinator,2018
78,ne,defensive coordinator,2018
79,ne,special teams,2018
80,no,head coach,2018
81,no,offensive coordinator,2018
82,no,defensive coordinator,2018
83,no,special teams,2018
84,nyg,head coach,2018
85,nyg,offensive coordinator,2018
86,nyg,defensive coordinator,2018
87,nyg,special teams,2018
88,nyj,head coach,2018
89,nyj,offensive coordinator,2018
90,nyj,defensive coordinator,2018
91,nyj,special teams,2018
92,oak,head coach,2018
93,oak,offensive coordinator,2018
94,oak,defensive coordinator,2018
95,oak,special teams,2018
96,phi,head coach,2018
97,phi,offensive coordinator,2018
98,phi,defensive coordinator,2018
99,phi,special teams,2018
100,pit,head coach,2018
101,pit,offensive coordinator,2018
102,pit,defensive coordinator,2018
103,pit,special teams,2018
104,sea,head coach,2018
105,sea,offensive coordinator,2018
106,sea,defensive coordinator,2018
107,sea,special teams,2018
108,sf,head coach,2018
109,sf,offensive coordinator,2018
110,sf,defensive coordinator,2018
111,sf,special teams,2018
112,tb,head coach,2018
113,tb,offensive coordinator,2018
114,tb,defensive coordinator,2018
115,tb,special teams,2018
116,ten,head coach,2018
117,ten,offensive coordinator,2018
118,ten,defensive coordinator,2018
119,ten,special teams,2018
120,was,head coach,2018
121,was,offensive coordinator,2018
122,was,defensive coordinator,2018
123,was,special teams,2018
